date,protected_beta,overlay_beta,beta_overlay_multiplier,deployment_overlay_multiplier,overlay_state,target_beta,raw_target_beta,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close,actual_regime_probability,brier,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,prob_RECOVERY
2018-01-01,0.7096468413895649,0.7096468413895649,1.0,1.0,NEUTRAL,1.0,0.9736658409117428,0.22816274429747027,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,147.63450622558594,0.03596559040181052,1.7877744457952187,0.9257138287615154,0.03596559040181052,0.038288498485937336,3.208235073666504e-05
2018-01-02,0.28809960645514,0.2875496243064171,0.998091,0.997546,PENALTY,1.0,0.6726173678413807,0.6116091709021675,BUST,LATE_CYCLE,BUST,MID_CYCLE,DEPLOY_BASE,False,QQQ,150.22213745117188,0.0740562447377082,1.3386534405358532,0.300793077823493,0.0740562447377082,0.6251440849249292,6.5925138695900535e-06
2018-01-03,0.5061781836250481,0.498464534284786,0.984761,0.980407,PENALTY,1.0,0.9339036873298364,0.44181422268412257,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,151.6818389892578,0.09201083444640569,1.493833857424132,0.8125823134255235,0.09201083444640569,0.09539138498948242,1.546713858840021e-05
2018-01-04,0.27648823623474916,0.267471954851134,0.96739,0.958072,PENALTY,1.0,0.618910871730663,0.5812567825502869,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,QQQ,151.94720458984375,0.13571360147695952,1.2725619792315344,0.15639109643652016,0.13571360147695952,0.7078932303043287,2.07178219167357e-06
2018-01-05,0.34374313815128404,0.33411523659480474,0.971991,0.963989,PENALTY,1.0,0.8772238155019534,0.6758070326662592,MID_CYCLE,LATE_CYCLE,MID_CYCLE,BUST,DEPLOY_PAUSE,False,QQQ,153.47323608398438,0.26998686416915646,0.9028034071153118,0.5924191599559474,0.26998686416915646,0.1375636820861749,3.0293788721268404e-05
2018-01-08,0.3043506248609311,0.2915672899155223,0.957998,0.945997,PENALTY,1.0,0.8330451663935743,0.7263301952744671,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_PAUSE,False,QQQ,154.0703582763672,0.4643583211989774,0.45896706439218593,0.38742661802338824,0.4643583211989774,0.1481744590739896,4.0601703644837193e-05
2018-01-09,0.3543772334916345,0.34167210091649247,0.964148,0.953904,PENALTY,0.34167210091649247,0.8726868521599962,0.6500890694957135,MID_CYCLE,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,154.079833984375,0.4593341922111046,0.5178790745869747,0.4696060319332103,0.4593341922111046,0.0709204783055859,0.00013929755009924183
2018-01-10,0.34517760615551896,0.34517760615551896,1.0,1.0,NEUTRAL,0.34167210091649247,0.8557846306133625,0.6549544492002014,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,153.7196502685547,0.5233038040932743,0.39140207343408023,0.3973646219876989,0.5233038040932743,0.07914627659980877,0.0001852973192180457
2018-01-11,0.40600716438813195,0.3803678119570214,0.93685,0.918808,PENALTY,0.34167210091649247,0.9119551828389628,0.5837288704449173,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,CASH,154.771728515625,0.2538109562776586,1.0133984683143662,0.6715948803880493,0.2538109562776586,0.07457007039822454,2.4092936067607364e-05
2018-01-12,0.32911395227360535,0.32911395227360535,1.0,1.0,NEUTRAL,0.34167210091649247,0.863840069948624,0.6960885250759232,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,True,CASH,155.90914916992188,0.3933120742832997,0.6230372595139589,0.4916730650307539,0.3933120742832997,0.11499833543885127,1.652524709509241e-05
